Mittari;Aika;val
Tapausten lukumäärä;Vuosi 2020 Viikko 01;1
Testausmäärä;Vuosi 2020 Viikko 01;
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 01;
Tapausten lukumäärä;Vuosi 2020 Viikko 02;0
Testausmäärä;Vuosi 2020 Viikko 02;
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 02;
Tapausten lukumäärä;Vuosi 2020 Viikko 03;0
Testausmäärä;Vuosi 2020 Viikko 03;
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 03;
Tapausten lukumäärä;Vuosi 2020 Viikko 04;0
Testausmäärä;Vuosi 2020 Viikko 04;
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 04;
Tapausten lukumäärä;Vuosi 2020 Viikko 05;1
Testausmäärä;Vuosi 2020 Viikko 05;
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 05;
Tapausten lukumäärä;Vuosi 2020 Viikko 06;0
Testausmäärä;Vuosi 2020 Viikko 06;
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 06;
Tapausten lukumäärä;Vuosi 2020 Viikko 07;1
Testausmäärä;Vuosi 2020 Viikko 07;
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 07;
Tapausten lukumäärä;Vuosi 2020 Viikko 08;1
Testausmäärä;Vuosi 2020 Viikko 08;
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 08;
Tapausten lukumäärä;Vuosi 2020 Viikko 09;7
Testausmäärä;Vuosi 2020 Viikko 09;398
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 09;
Tapausten lukumäärä;Vuosi 2020 Viikko 10;34
Testausmäärä;Vuosi 2020 Viikko 10;381
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 10;1
Tapausten lukumäärä;Vuosi 2020 Viikko 11;317
Testausmäärä;Vuosi 2020 Viikko 11;2410
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 11;2
Tapausten lukumäärä;Vuosi 2020 Viikko 12;540
Testausmäärä;Vuosi 2020 Viikko 12;7741
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 12;8
Tapausten lukumäärä;Vuosi 2020 Viikko 13;642
Testausmäärä;Vuosi 2020 Viikko 13;10379
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 13;30
Tapausten lukumäärä;Vuosi 2020 Viikko 14;966
Testausmäärä;Vuosi 2020 Viikko 14;12719
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 14;43
Tapausten lukumäärä;Vuosi 2020 Viikko 15;931
Testausmäärä;Vuosi 2020 Viikko 15;16176
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 15;63
Tapausten lukumäärä;Vuosi 2020 Viikko 16;790
Testausmäärä;Vuosi 2020 Viikko 16;16908
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 16;64
Tapausten lukumäärä;Vuosi 2020 Viikko 17;736
Testausmäärä;Vuosi 2020 Viikko 17;23236
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 17;41
Tapausten lukumäärä;Vuosi 2020 Viikko 18;623
Testausmäärä;Vuosi 2020 Viikko 18;21364
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 18;16
Tapausten lukumäärä;Vuosi 2020 Viikko 19;617
Testausmäärä;Vuosi 2020 Viikko 19;21129
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 19;23
Tapausten lukumäärä;Vuosi 2020 Viikko 20;396
Testausmäärä;Vuosi 2020 Viikko 20;24285
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 20;8
Tapausten lukumäärä;Vuosi 2020 Viikko 21;221
Testausmäärä;Vuosi 2020 Viikko 21;20367
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 21;4
Tapausten lukumäärä;Vuosi 2020 Viikko 22;163
Testausmäärä;Vuosi 2020 Viikko 22;17380
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 22;2
Tapausten lukumäärä;Vuosi 2020 Viikko 23;99
Testausmäärä;Vuosi 2020 Viikko 23;15543
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 23;0
Tapausten lukumäärä;Vuosi 2020 Viikko 24;54
Testausmäärä;Vuosi 2020 Viikko 24;15596
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 24;0
Tapausten lukumäärä;Vuosi 2020 Viikko 25;51
Testausmäärä;Vuosi 2020 Viikko 25;12563
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 25;2
Tapausten lukumäärä;Vuosi 2020 Viikko 26;53
Testausmäärä;Vuosi 2020 Viikko 26;13959
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 26;1
Tapausten lukumäärä;Vuosi 2020 Viikko 27;46
Testausmäärä;Vuosi 2020 Viikko 27;18274
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 27;1
Tapausten lukumäärä;Vuosi 2020 Viikko 28;38
Testausmäärä;Vuosi 2020 Viikko 28;26080
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 28;0
Tapausten lukumäärä;Vuosi 2020 Viikko 29;43
Testausmäärä;Vuosi 2020 Viikko 29;30231
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 29;0
Tapausten lukumäärä;Vuosi 2020 Viikko 30;56
Testausmäärä;Vuosi 2020 Viikko 30;30074
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 30;1
Tapausten lukumäärä;Vuosi 2020 Viikko 31;84
Testausmäärä;Vuosi 2020 Viikko 31;34641
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 31;2
Tapausten lukumäärä;Vuosi 2020 Viikko 32;169
Testausmäärä;Vuosi 2020 Viikko 32;48786
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 32;1
Tapausten lukumäärä;Vuosi 2020 Viikko 33;175
Testausmäärä;Vuosi 2020 Viikko 33;72535
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 33;1
Tapausten lukumäärä;Vuosi 2020 Viikko 34;192
Testausmäärä;Vuosi 2020 Viikko 34;98615
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 34;0
Tapausten lukumäärä;Vuosi 2020 Viikko 35;156
Testausmäärä;Vuosi 2020 Viikko 35;108154
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 35;0
Tapausten lukumäärä;Vuosi 2020 Viikko 36;236
Testausmäärä;Vuosi 2020 Viikko 36;102462
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 36;4
Tapausten lukumäärä;Vuosi 2020 Viikko 37;354
Testausmäärä;Vuosi 2020 Viikko 37;79725
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 37;5
Tapausten lukumäärä;Vuosi 2020 Viikko 38;470
Testausmäärä;Vuosi 2020 Viikko 38;97799
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 38;2
Tapausten lukumäärä;Vuosi 2020 Viikko 39;719
Testausmäärä;Vuosi 2020 Viikko 39;91405
Kuolemantapausten lukumäärä;Vuosi 2020 Viikko 39;4
Tapausten lukumäärä;Vuosi 2020 Viikko 40;1130
